team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2022,CAR,CAR,Team Level,other,66,0.52,0.58,0.57,7587.0,128.96,27.94,9.14,23.75,4.3,68.28,44.59,25.71,27.94,25.71,123.0,55.0,63.0,241.0,26.0,7.0,2.0,21.0,3.0,70.0,51.0,97.0,152.0,5.0,10.0,102.0,22.0,20.0,20.0,83.0,57.0,38.0,3.24,7.36,17.34,6.0,8.0,12.0,241.0,178.0,178.0,10.0,2.62,1.86,2.19,28.38,28.38,26.49,101.49,26.06,7.05,17.43,3.15,49.49,31.82,23.89,26.06,23.89,102.0,33.0,41.0,176.0,25.0,11.0,2.0,11.0,5.0,40.0,43.0,77.0,110.0,8.0,16.0,92.0,29.0,26.0,17.0,63.0,37.0,35.0,2.75,4.55,18.77,2.0,11.0,12.0,176.0,135.0,135.0,5.0,2.06,5.13,5.13,23.0,23.0,22.61
CAR,2022,CAR,CAR,Team Level,all,66,0.59,0.6,0.59,241245.0,2431.52,242.56,174.05,592.45,83.12,1353.22,958.59,229.48,245.57,232.34,2304.0,1100.0,1108.0,4512.0,218.0,285.0,39.0,520.0,81.0,1252.0,1048.0,2086.0,3186.0,237.0,490.0,2138.0,1123.0,622.0,583.0,2467.0,669.0,268.0,70.81,81.7,90.06,79.0,71.0,68.0,4608.49,3404.0,3462.04,251.0,38.65,54.61,54.62,226.6,229.22,221.34,1700.59,170.83,120.6,385.42,55.7,920.18,682.26,161.66,169.48,160.38,1700.0,635.0,686.0,3021.0,166.0,158.0,17.0,315.0,49.0,740.0,907.0,1534.0,2169.0,229.0,475.0,1879.0,1515.0,494.0,606.0,1650.0,518.0,167.0,46.31,62.99,61.54,56.0,70.0,40.0,2966.7,2335.0,2303.26,321.0,26.95,35.49,35.52,162.27,161.1,157.27
CAR,2022,CAR,CAR,Team Level,5on5,66,0.6,0.6,0.6,193203.0,1887.51,166.38,130.13,480.98,65.0,1049.76,756.76,158.4,169.37,161.25,1789.0,860.0,890.0,3539.0,143.0,235.0,31.0,431.0,63.0,958.0,819.0,1646.0,2506.0,207.0,430.0,1653.0,1033.0,511.0,472.0,1978.0,499.0,172.0,56.59,60.91,48.87,60.0,50.0,33.0,3635.5,2649.0,2707.04,215.0,27.04,43.88,44.11,149.3,151.92,148.18,1296.03,108.68,86.47,307.93,42.15,703.48,533.3,105.34,107.32,104.05,1283.0,499.0,550.0,2332.0,106.0,107.0,6.0,261.0,38.0,570.0,700.0,1177.0,1676.0,196.0,409.0,1461.0,1391.0,386.0,513.0,1304.0,385.0,93.0,36.47,47.08,25.13,49.0,47.0,10.0,2277.7,1782.0,1750.26,296.0,17.93,21.26,21.43,105.17,104.0,102.49
CAR,2022,CAR,CAR,Team Level,4on5,66,0.17,0.19,0.21,20355.0,67.12,6.26,3.67,9.9,2.2,22.46,47.52,6.22,6.26,6.22,73.0,19.0,12.0,104.0,9.0,2.0,0.0,12.0,1.0,19.0,49.0,64.0,83.0,6.0,12.0,170.0,44.0,76.0,25.0,62.0,23.0,7.0,1.6,2.84,1.82,3.0,3.0,3.0,104.0,92.0,92.0,22.0,0.85,0.15,0.15,6.97,6.97,6.94,250.45,31.29,24.36,52.91,8.76,150.05,79.62,27.7,31.29,27.7,258.0,89.0,86.0,433.0,31.0,38.0,8.0,37.0,3.0,120.0,118.0,227.0,316.0,12.0,24.0,172.0,31.0,26.0,59.0,234.0,79.0,34.0,5.66,9.39,16.24,5.0,9.0,17.0,433.0,347.0,347.0,4.0,6.35,8.49,8.35,29.29,29.29,27.39
CAR,2022,CAR,CAR,Team Level,5on4,66,0.9,0.89,0.87,20100.0,347.91,41.99,31.12,77.83,11.64,212.72,109.72,39.16,41.99,39.16,319.0,166.0,143.0,628.0,40.0,41.0,6.0,56.0,14.0,205.0,129.0,279.0,445.0,19.0,38.0,213.0,24.0,15.0,66.0,344.0,90.0,51.0,9.38,10.58,22.02,10.0,10.0,20.0,628.0,485.0,485.0,4.0,8.13,8.72,8.17,41.95,41.95,39.74,52.61,4.81,2.73,7.16,1.64,17.15,37.51,4.73,4.81,4.73,57.0,14.0,9.0,80.0,4.0,2.0,1.0,6.0,3.0,10.0,46.0,53.0,67.0,13.0,26.0,154.0,64.0,56.0,17.0,49.0,17.0,5.0,1.42,1.98,1.4,0.0,3.0,1.0,80.0,71.0,71.0,16.0,0.61,0.6,0.6,4.82,4.82,4.78
DAL,2022,DAL,DAL,Team Level,other,68,0.63,0.54,0.53,7373.0,125.69,31.38,8.89,22.08,4.49,65.84,40.31,29.96,31.38,29.96,124.0,49.0,60.0,233.0,28.0,13.0,1.0,21.0,4.0,57.0,50.0,96.0,145.0,6.0,12.0,98.0,28.0,17.0,15.0,81.0,43.0,49.0,3.17,5.48,22.72,4.0,6.0,18.0,233.0,173.0,173.0,8.0,2.59,2.74,2.74,31.24,31.24,30.42,110.46,18.65,7.98,21.74,3.73,58.53,40.38,17.85,18.65,17.85,109.0,42.0,49.0,200.0,22.0,11.0,3.0,13.0,0.0,48.0,57.0,87.0,129.0,3.0,6.0,96.0,25.0,19.0,23.0,86.0,42.0,23.0,3.35,5.02,10.27,4.0,9.0,9.0,200.0,151.0,151.0,9.0,2.25,1.58,1.58,19.32,19.32,18.55
DAL,2022,DAL,DAL,Team Level,all,68,0.55,0.52,0.51,248486.0,2216.26,235.64,153.05,523.64,75.64,1216.94,864.1,224.08,238.42,226.77,2212.0,857.0,1135.0,4204.0,233.0,227.0,31.0,398.0,73.0,1012.0,1126.0,1979.0,2836.0,234.0,510.0,2186.0,1390.0,475.0,622.0,2188.0,621.0,260.0,64.42,76.35,94.88,78.0,73.0,82.0,4274.83,3069.0,3109.85,313.0,34.17,47.86,47.92,221.9,224.64,218.2,2106.18,193.09,145.14,490.77,69.51,1173.01,854.47,187.08,192.31,186.3,2090.0,836.0,989.0,3915.0,182.0,168.0,26.0,410.0,41.0,1002.0,1123.0,1908.0,2744.0,235.0,538.0,1798.0,1656.0,466.0,611.0,2160.0,579.0,187.0,60.3,70.98,61.81,56.0,75.0,51.0,3875.99,2926.0,2905.8,297.0,31.84,32.82,32.82,192.1,191.08,187.2
DAL,2022,DAL,DAL,Team Level,5on5,68,0.52,0.52,0.51,200416.0,1695.18,146.94,112.38,419.85,57.88,937.44,682.54,141.57,149.72,144.26,1676.0,681.0,918.0,3275.0,147.0,163.0,20.0,314.0,57.0,778.0,898.0,1529.0,2210.0,209.0,460.0,1680.0,1277.0,401.0,520.0,1739.0,480.0,138.0,51.21,58.66,37.06,62.0,56.0,29.0,3345.83,2357.0,2397.85,272.0,23.27,30.4,30.9,139.31,142.05,139.54,1647.03,133.63,106.5,400.91,54.07,912.02,678.86,130.15,132.85,129.37,1618.0,668.0,791.0,3077.0,122.0,131.0,20.0,332.0,33.0,768.0,900.0,1496.0,2164.0,210.0,488.0,1368.0,1548.0,395.0,513.0,1745.0,422.0,119.0,48.98,52.06,32.59,46.0,53.0,23.0,3037.99,2286.0,2265.8,261.0,21.94,25.54,25.54,130.03,129.0,127.35
DAL,2022,DAL,DAL,Team Level,4on5,68,0.15,0.14,0.16,21794.0,58.72,6.05,2.63,9.04,1.79,18.04,39.45,5.73,6.05,5.73,68.0,9.0,9.0,86.0,9.0,4.0,1.0,5.0,2.0,9.0,48.0,59.0,68.0,4.0,8.0,209.0,67.0,39.0,31.0,56.0,13.0,8.0,1.54,1.87,2.63,0.0,4.0,5.0,86.0,77.0,77.0,29.0,0.61,1.32,1.32,5.33,5.33,5.28,293.53,35.08,27.72,59.97,9.88,184.62,96.72,33.46,35.08,33.46,293.0,121.0,133.0,547.0,35.0,24.0,3.0,58.0,7.0,174.0,116.0,258.0,379.0,12.0,24.0,165.0,38.0,11.0,53.0,279.0,98.0,37.0,6.45,11.75,16.88,5.0,11.0,19.0,547.0,414.0,414.0,7.0,6.97,5.14,5.14,36.92,36.92,35.5
DAL,2022,DAL,DAL,Team Level,5on4,68,0.9,0.87,0.86,18903.0,336.66,51.27,29.16,72.66,11.48,195.62,101.8,46.82,51.27,46.82,344.0,118.0,148.0,610.0,49.0,47.0,9.0,58.0,10.0,168.0,130.0,295.0,413.0,15.0,30.0,199.0,18.0,18.0,56.0,312.0,85.0,65.0,8.49,10.33,32.46,12.0,7.0,30.0,610.0,462.0,462.0,4.0,7.72,13.41,12.97,46.02,46.02,42.96,55.16,5.73,2.94,8.15,1.84,17.84,38.5,5.62,5.73,5.62,70.0,5.0,16.0,91.0,3.0,2.0,0.0,7.0,1.0,12.0,50.0,67.0,72.0,10.0,20.0,169.0,45.0,41.0,22.0,50.0,17.0,8.0,1.52,2.15,2.06,1.0,2.0,0.0,91.0,75.0,75.0,20.0,0.67,0.56,0.56,5.84,5.84,5.8
NSH,2022,NSH,NSH,Team Level,other,65,0.51,0.53,0.55,9910.0,161.02,34.23,12.16,28.4,5.16,89.03,54.02,30.46,34.23,30.46,151.0,72.0,63.0,286.0,26.0,15.0,4.0,30.0,9.0,71.0,72.0,125.0,197.0,4.0,11.0,121.0,33.0,20.0,18.0,120.0,59.0,44.0,5.41,6.92,21.9,5.0,5.0,16.0,286.0,223.0,223.0,7.0,3.57,6.06,6.06,31.74,31.74,29.2,133.04,32.97,8.9,21.26,4.42,68.8,45.65,28.59,32.97,28.59,126.0,56.0,71.0,253.0,28.0,8.0,3.0,13.0,7.0,67.0,59.0,98.0,154.0,7.0,14.0,105.0,35.0,25.0,21.0,77.0,64.0,41.0,3.47,7.91,21.59,4.0,8.0,16.0,253.0,182.0,182.0,8.0,2.58,2.94,2.94,32.61,32.61,29.46
NSH,2022,NSH,NSH,Team Level,all,65,0.49,0.49,0.48,237192.0,2038.92,225.57,149.55,459.23,67.74,1133.02,794.88,212.31,226.51,213.22,1977.0,853.0,1010.0,3840.0,184.0,209.0,40.0,451.0,63.0,917.0,1007.0,1793.0,2646.0,256.0,613.0,1884.0,1859.0,458.0,532.0,1954.0,630.0,246.0,63.25,77.82,84.51,59.0,47.0,78.0,3861.02,2830.0,2847.18,291.0,33.53,47.92,47.92,211.19,212.02,204.61,2192.57,232.93,157.45,489.47,73.55,1212.53,859.07,220.12,233.29,220.44,2174.0,851.0,1035.0,4060.0,188.0,215.0,20.0,483.0,57.0,952.0,1130.0,1986.0,2837.0,243.0,572.0,1742.0,1552.0,498.0,583.0,2100.0,686.0,239.0,65.28,84.06,83.59,45.0,81.0,62.0,4051.16,3025.0,3014.45,330.0,34.98,45.36,45.36,222.56,222.44,214.93
NSH,2022,NSH,NSH,Team Level,5on5,65,0.49,0.49,0.48,187706.0,1555.46,150.92,108.51,367.96,51.5,856.11,617.98,143.77,151.87,144.69,1511.0,642.0,800.0,2953.0,122.0,165.0,32.0,355.0,48.0,695.0,769.0,1389.0,2031.0,233.0,564.0,1435.0,1743.0,376.0,439.0,1538.0,462.0,153.0,49.46,57.65,43.81,47.0,36.0,39.0,2974.02,2153.0,2170.18,259.0,22.6,36.23,36.97,136.55,137.38,134.49,1662.79,154.13,113.85,390.1,55.36,918.3,666.27,148.38,154.49,148.7,1638.0,660.0,805.0,3103.0,116.0,157.0,11.0,395.0,38.0,701.0,891.0,1522.0,2182.0,222.0,530.0,1281.0,1444.0,409.0,458.0,1642.0,516.0,140.0,51.79,63.67,38.67,35.0,57.0,24.0,3094.16,2298.0,2287.45,284.0,23.59,31.77,31.87,145.84,145.73,142.91
NSH,2022,NSH,NSH,Team Level,4on5,65,0.13,0.11,0.12,20748.0,48.7,5.68,2.86,6.99,1.59,15.36,32.52,5.58,5.68,5.58,47.0,18.0,9.0,74.0,3.0,3.0,0.0,7.0,1.0,15.0,36.0,44.0,62.0,5.0,10.0,161.0,62.0,52.0,26.0,42.0,16.0,7.0,1.43,2.02,2.22,1.0,1.0,1.0,74.0,65.0,65.0,23.0,0.65,0.52,0.52,5.8,5.8,5.78,336.2,39.54,31.43,69.84,11.93,206.44,105.84,36.97,39.54,36.97,340.0,125.0,151.0,616.0,38.0,48.0,6.0,68.0,12.0,172.0,127.0,302.0,427.0,9.0,18.0,202.0,27.0,14.0,70.0,331.0,82.0,52.0,8.4,9.57,21.57,4.0,13.0,21.0,616.0,465.0,465.0,8.0,8.07,10.29,10.19,37.41,37.41,35.92
NSH,2022,NSH,NSH,Team Level,5on4,65,0.85,0.86,0.83,18828.0,273.74,34.74,26.02,55.87,9.49,172.53,90.36,32.5,34.74,32.5,268.0,121.0,138.0,527.0,33.0,26.0,4.0,59.0,5.0,136.0,130.0,235.0,356.0,14.0,28.0,167.0,21.0,10.0,49.0,254.0,93.0,42.0,6.95,11.22,16.58,6.0,5.0,22.0,527.0,389.0,389.0,2.0,6.71,5.1,4.36,37.09,37.09,35.14,60.53,6.3,3.28,8.26,1.85,19.0,41.31,6.19,6.3,6.19,70.0,10.0,8.0,88.0,6.0,2.0,0.0,7.0,0.0,12.0,53.0,64.0,74.0,5.0,10.0,154.0,46.0,50.0,34.0,50.0,24.0,6.0,1.63,2.92,1.76,2.0,3.0,1.0,88.0,80.0,80.0,30.0,0.75,0.36,0.36,6.69,6.69,6.64
MIN,2022,MIN,MIN,Team Level,other,67,0.56,0.52,0.53,9631.0,155.07,36.22,11.16,26.42,5.14,78.91,52.14,31.67,36.22,31.67,149.0,61.0,58.0,268.0,27.0,13.0,3.0,19.0,3.0,77.0,71.0,122.0,183.0,5.0,10.0,110.0,27.0,22.0,24.0,98.0,61.0,51.0,4.07,7.64,24.5,2.0,6.0,19.0,268.0,210.0,210.0,9.0,3.35,4.7,4.7,34.87,34.87,31.53,137.65,28.91,9.9,25.24,4.6,67.31,47.04,26.24,28.91,26.24,137.0,46.0,60.0,243.0,28.0,20.0,5.0,16.0,1.0,49.0,69.0,109.0,155.0,13.0,26.0,129.0,27.0,25.0,23.0,86.0,52.0,45.0,3.27,6.42,19.22,1.0,6.0,21.0,243.0,183.0,183.0,12.0,2.88,6.02,6.02,25.76,25.76,24.6
MIN,2022,MIN,MIN,Team Level,all,67,0.51,0.51,0.52,246046.0,2155.7,212.26,149.82,487.94,70.38,1183.04,873.56,201.97,213.33,203.03,2101.0,876.0,981.0,3958.0,188.0,195.0,29.0,449.0,57.0,985.0,1103.0,1913.0,2789.0,270.0,631.0,1787.0,1465.0,449.0,434.0,2146.0,621.0,210.0,62.02,75.74,74.48,45.0,81.0,62.0,3988.62,2977.0,2999.04,216.0,33.61,39.9,39.9,205.96,207.04,200.4,2027.44,201.4,139.23,468.09,67.67,1120.32,806.3,190.47,200.56,189.75,2024.0,779.0,1077.0,3880.0,174.0,178.0,22.0,378.0,85.0,916.0,1072.0,1850.0,2629.0,274.0,642.0,1976.0,1324.0,395.0,483.0,2026.0,572.0,205.0,58.99,68.8,73.62,56.0,63.0,55.0,3859.35,2803.0,2794.07,275.0,30.92,38.59,38.69,193.64,193.23,186.63
MIN,2022,MIN,MIN,Team Level,5on5,67,0.5,0.5,0.51,197200.0,1625.49,133.02,106.34,386.65,52.86,897.09,678.05,129.21,134.1,130.27,1562.0,692.0,796.0,3050.0,112.0,137.0,16.0,356.0,47.0,750.0,852.0,1450.0,2142.0,251.0,593.0,1334.0,1370.0,377.0,358.0,1688.0,457.0,109.0,48.43,55.58,29.01,38.0,54.0,20.0,3080.62,2254.0,2276.04,184.0,21.96,24.51,24.71,130.27,131.35,129.22,1556.25,130.45,101.35,375.35,52.22,858.62,638.01,125.77,129.61,125.05,1545.0,611.0,841.0,2997.0,111.0,126.0,14.0,298.0,71.0,703.0,847.0,1434.0,2045.0,231.0,556.0,1496.0,1236.0,315.0,396.0,1616.0,426.0,114.0,47.12,51.08,32.25,49.0,45.0,17.0,2976.35,2156.0,2147.07,239.0,20.9,26.03,26.69,124.66,124.26,122.01
MIN,2022,MIN,MIN,Team Level,4on5,67,0.14,0.13,0.17,20182.0,62.55,6.1,2.92,8.65,1.88,18.69,43.76,5.99,6.1,5.99,64.0,18.0,8.0,90.0,7.0,3.0,0.0,6.0,1.0,11.0,54.0,57.0,75.0,4.0,8.0,159.0,45.0,37.0,18.0,55.0,19.0,8.0,1.5,2.45,2.15,0.0,4.0,3.0,90.0,82.0,82.0,17.0,0.68,0.85,0.85,5.94,5.94,5.92,297.14,38.19,26.06,62.63,9.75,182.84,95.53,34.63,38.19,34.63,304.0,111.0,167.0,582.0,34.0,32.0,3.0,58.0,12.0,158.0,121.0,270.0,381.0,19.0,38.0,202.0,11.0,11.0,42.0,291.0,83.0,41.0,7.6,10.02,20.56,5.0,12.0,17.0,582.0,415.0,415.0,4.0,6.7,6.53,5.97,38.91,38.91,35.75
MIN,2022,MIN,MIN,Team Level,5on4,67,0.91,0.9,0.9,19033.0,312.6,36.91,29.39,66.24,10.5,188.36,99.61,35.1,36.91,35.1,326.0,105.0,119.0,550.0,42.0,42.0,10.0,68.0,6.0,147.0,126.0,284.0,389.0,10.0,20.0,184.0,23.0,13.0,34.0,305.0,84.0,42.0,8.01,10.07,18.83,5.0,17.0,20.0,550.0,431.0,431.0,6.0,7.62,9.85,9.64,34.89,34.89,33.73,36.38,3.85,1.91,4.88,1.1,11.54,25.72,3.83,3.85,3.83,38.0,11.0,9.0,58.0,1.0,0.0,0.0,6.0,1.0,6.0,35.0,37.0,48.0,11.0,22.0,149.0,50.0,44.0,22.0,33.0,11.0,5.0,0.99,1.28,1.58,1.0,0.0,0.0,58.0,49.0,49.0,20.0,0.44,0.0,0.0,4.29,4.29,4.27
NJD,2022,NJD,NJD,Team Level,other,67,0.65,0.57,0.59,8054.0,138.04,36.3,9.54,22.46,4.43,70.85,46.42,33.07,36.3,33.07,137.0,53.0,56.0,246.0,35.0,11.0,4.0,17.0,7.0,67.0,53.0,102.0,155.0,5.0,10.0,97.0,25.0,26.0,14.0,77.0,61.0,52.0,3.21,7.37,25.72,5.0,12.0,18.0,246.0,190.0,190.0,4.0,2.73,3.6,3.6,35.43,35.43,33.59,94.71,19.14,7.11,16.83,3.18,53.08,30.65,18.37,19.14,18.37,89.0,41.0,57.0,187.0,19.0,10.0,2.0,9.0,1.0,54.0,37.0,70.0,111.0,9.0,18.0,89.0,33.0,19.0,18.0,69.0,35.0,26.0,2.67,4.1,12.37,4.0,4.0,11.0,187.0,130.0,130.0,6.0,2.11,2.41,2.41,18.84,18.84,18.4
NJD,2022,NJD,NJD,Team Level,all,67,0.56,0.53,0.54,244399.0,2314.89,242.91,155.36,537.04,77.19,1240.29,904.28,227.73,244.78,229.59,2298.0,860.0,1126.0,4284.0,234.0,237.0,32.0,421.0,68.0,1141.0,1057.0,2064.0,2924.0,216.0,468.0,1994.0,1125.0,491.0,612.0,2213.0,688.0,257.0,67.13,86.08,89.71,70.0,95.0,69.0,4342.69,3158.0,3198.23,306.0,34.31,50.86,50.93,226.29,228.05,220.67,1957.12,190.02,133.65,457.68,66.56,1080.35,792.74,182.72,189.9,182.61,1889.0,832.0,1013.0,3734.0,178.0,192.0,27.0,330.0,49.0,982.0,990.0,1711.0,2543.0,212.0,468.0,1881.0,1510.0,457.0,576.0,1956.0,572.0,193.0,56.91,69.31,63.81,53.0,63.0,62.0,3707.75,2721.0,2710.89,282.0,29.46,38.79,38.85,180.63,180.19,176.49
NJD,2022,NJD,NJD,Team Level,5on5,67,0.55,0.54,0.54,200866.0,1864.35,165.36,119.56,453.94,62.14,994.97,744.1,157.66,167.23,159.52,1845.0,696.0,935.0,3476.0,160.0,187.0,21.0,354.0,55.0,897.0,888.0,1685.0,2381.0,195.0,428.0,1542.0,1049.0,395.0,521.0,1864.0,521.0,156.0,56.8,65.37,43.19,61.0,71.0,28.0,3534.69,2541.0,2581.23,281.0,24.81,37.56,37.63,152.55,154.31,150.78,1542.74,133.0,99.66,378.37,52.92,849.16,638.89,128.7,132.87,128.59,1493.0,659.0,826.0,2978.0,121.0,147.0,22.0,283.0,43.0,756.0,802.0,1372.0,2031.0,181.0,406.0,1511.0,1400.0,385.0,500.0,1584.0,453.0,115.0,46.14,54.91,31.96,44.0,45.0,32.0,2951.75,2152.0,2141.89,260.0,20.6,29.02,29.13,124.47,124.02,122.31
NJD,2022,NJD,NJD,Team Level,4on5,67,0.11,0.12,0.13,18464.0,41.03,4.01,1.95,6.04,1.36,13.01,28.63,3.95,4.01,3.95,43.0,12.0,10.0,65.0,6.0,3.0,1.0,4.0,0.0,10.0,32.0,37.0,49.0,6.0,12.0,173.0,34.0,60.0,18.0,39.0,10.0,6.0,1.12,1.28,1.62,1.0,2.0,3.0,65.0,55.0,55.0,18.0,0.45,0.65,0.65,3.82,3.82,3.8,263.3,32.76,24.18,53.92,8.72,160.08,84.36,30.54,32.76,30.54,252.0,112.0,120.0,484.0,31.0,35.0,3.0,33.0,5.0,156.0,104.0,221.0,333.0,17.0,34.0,153.0,21.0,9.0,41.0,248.0,71.0,45.0,6.5,8.65,17.6,4.0,10.0,17.0,484.0,364.0,364.0,2.0,6.13,7.36,7.31,31.58,31.58,30.06
NJD,2022,NJD,NJD,Team Level,5on4,67,0.88,0.85,0.83,17015.0,271.45,37.24,24.3,54.62,9.25,161.45,85.13,33.04,37.24,33.04,273.0,99.0,125.0,497.0,33.0,36.0,6.0,46.0,6.0,167.0,84.0,240.0,339.0,10.0,18.0,182.0,17.0,10.0,59.0,233.0,96.0,43.0,6.0,12.06,19.18,3.0,10.0,20.0,497.0,372.0,372.0,3.0,6.31,9.06,9.06,34.49,34.49,32.5,56.37,5.13,2.71,8.56,1.73,18.03,38.83,5.11,5.13,5.11,55.0,20.0,10.0,85.0,7.0,0.0,0.0,5.0,0.0,16.0,47.0,48.0,68.0,5.0,10.0,128.0,56.0,44.0,17.0,55.0,13.0,7.0,1.59,1.65,1.89,1.0,4.0,2.0,85.0,75.0,75.0,14.0,0.62,0.0,0.0,5.75,5.75,5.72
SJS,2022,SJS,SJS,Team Level,other,68,0.46,0.48,0.48,8401.0,128.56,28.25,9.24,21.38,4.38,70.46,44.29,24.21,28.25,24.21,126.0,52.0,58.0,236.0,22.0,9.0,0.0,30.0,1.0,63.0,53.0,104.0,156.0,8.0,16.0,110.0,35.0,23.0,15.0,91.0,49.0,38.0,3.77,5.89,18.59,3.0,6.0,13.0,236.0,178.0,178.0,2.0,2.64,3.07,3.07,27.82,27.82,24.36,140.72,33.63,9.9,24.39,4.89,70.51,50.69,31.52,33.63,31.52,146.0,48.0,59.0,253.0,38.0,14.0,3.0,23.0,6.0,57.0,56.0,108.0,156.0,6.0,12.0,113.0,23.0,29.0,16.0,111.0,38.0,45.0,4.4,4.67,24.55,8.0,7.0,23.0,253.0,194.0,194.0,7.0,2.85,4.65,4.65,31.83,31.83,30.97
SJS,2022,SJS,SJS,Team Level,all,68,0.5,0.49,0.49,248038.0,2065.34,222.32,151.5,470.08,68.61,1134.06,802.42,209.9,222.04,209.6,2037.0,812.0,1029.0,3878.0,197.0,214.0,37.0,443.0,58.0,874.0,1063.0,1840.0,2652.0,240.0,551.0,2049.0,1548.0,626.0,550.0,1972.0,624.0,253.0,61.54,77.63,83.15,65.0,69.0,63.0,3848.3,2849.0,2832.6,256.0,33.5,48.99,48.99,206.83,206.14,198.7,2166.58,224.77,155.72,492.01,72.54,1204.28,865.67,214.81,226.91,216.84,2148.0,867.0,1085.0,4100.0,257.0,198.0,35.0,543.0,75.0,913.0,1030.0,1891.0,2758.0,207.0,483.0,1996.0,1475.0,642.0,551.0,2157.0,626.0,232.0,66.87,76.03,81.87,92.0,96.0,69.0,4145.28,3015.0,3047.27,267.0,34.5,44.12,44.17,215.1,217.11,211.89
SJS,2022,SJS,SJS,Team Level,5on5,68,0.51,0.5,0.49,200900.0,1639.75,157.68,115.72,390.01,54.69,897.35,651.57,151.59,157.41,151.28,1601.0,666.0,844.0,3111.0,142.0,167.0,28.0,358.0,49.0,689.0,862.0,1459.0,2125.0,213.0,497.0,1606.0,1452.0,523.0,471.0,1611.0,484.0,172.0,50.26,60.24,47.17,56.0,56.0,30.0,3081.3,2267.0,2250.6,231.0,24.07,35.67,35.67,146.07,145.37,142.57,1666.52,148.94,114.25,393.88,55.6,925.61,682.71,143.75,151.07,145.78,1663.0,658.0,842.0,3163.0,178.0,146.0,23.0,437.0,58.0,703.0,800.0,1485.0,2143.0,189.0,447.0,1542.0,1371.0,541.0,447.0,1706.0,474.0,141.0,52.53,57.74,38.66,75.0,76.0,27.0,3208.28,2321.0,2353.27,236.0,23.65,29.44,29.49,143.11,145.11,142.65
