team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2022,PIT,PIT,Team Level,other,67,0.56,0.51,0.52,7154.0,118.29,31.27,9.06,20.08,4.03,61.76,36.8,28.22,31.27,28.22,119.0,44.0,44.0,207.0,32.0,13.0,3.0,11.0,3.0,63.0,41.0,87.0,131.0,7.0,17.0,95.0,42.0,14.0,18.0,72.0,47.0,44.0,3.08,5.78,22.4,5.0,10.0,17.0,207.0,163.0,163.0,7.0,2.76,4.37,4.37,29.66,29.66,28.21,112.7,24.78,8.1,19.66,3.48,59.51,37.46,23.1,24.78,23.1,105.0,48.0,43.0,196.0,26.0,9.0,2.0,16.0,0.0,53.0,49.0,79.0,127.0,11.0,25.0,86.0,21.0,21.0,14.0,67.0,55.0,31.0,2.57,6.81,15.41,2.0,9.0,15.0,196.0,153.0,153.0,3.0,2.4,2.52,2.52,24.66,24.66,23.22
PIT,2022,PIT,PIT,Team Level,all,67,0.53,0.51,0.51,243913.0,2280.19,243.12,166.82,526.47,77.55,1243.59,894.52,229.43,243.89,230.16,2280.0,873.0,1065.0,4218.0,220.0,252.0,35.0,439.0,69.0,1037.0,1136.0,2060.0,2933.0,237.0,496.0,2022.0,1978.0,548.0,643.0,2174.0,705.0,274.0,63.08,87.74,92.3,67.0,85.0,68.0,4238.37,3153.0,3166.14,315.0,37.09,54.17,54.17,225.98,226.56,219.93,2171.02,218.35,154.98,498.25,71.99,1191.39,868.05,208.95,218.99,209.59,2243.0,760.0,984.0,3987.0,215.0,199.0,30.0,420.0,50.0,1022.0,1097.0,2028.0,2788.0,255.0,539.0,1843.0,1772.0,535.0,542.0,2157.0,629.0,217.0,63.68,77.42,77.25,60.0,84.0,71.0,3989.38,3003.0,3003.59,262.0,34.45,44.67,44.82,207.98,208.52,203.25
PIT,2022,PIT,PIT,Team Level,5on5,67,0.53,0.52,0.52,195756.0,1799.13,165.39,124.36,435.11,61.14,978.61,725.47,158.37,166.15,159.11,1790.0,701.0,863.0,3354.0,141.0,192.0,19.0,372.0,56.0,814.0,916.0,1649.0,2350.0,205.0,429.0,1568.0,1809.0,457.0,533.0,1778.0,543.0,170.0,51.34,67.9,46.14,55.0,59.0,27.0,3374.37,2491.0,2504.14,283.0,25.87,38.73,38.73,152.47,153.05,149.78,1669.18,147.17,112.94,400.68,55.77,915.17,681.27,142.02,147.81,142.65,1721.0,592.0,798.0,3111.0,144.0,146.0,22.0,328.0,39.0,790.0,866.0,1577.0,2169.0,216.0,458.0,1407.0,1656.0,447.0,453.0,1706.0,477.0,130.0,51.22,58.57,37.38,51.0,62.0,31.0,3113.38,2313.0,2313.58,234.0,23.39,30.78,30.93,139.64,140.18,137.94
PIT,2022,PIT,PIT,Team Level,4on5,67,0.13,0.11,0.13,19726.0,49.5,5.41,2.82,6.5,1.58,16.33,34.34,5.36,5.41,5.36,58.0,9.0,5.0,72.0,5.0,1.0,1.0,5.0,2.0,8.0,46.0,53.0,62.0,8.0,16.0,155.0,91.0,47.0,20.0,44.0,14.0,9.0,0.94,2.0,2.48,0.0,4.0,1.0,72.0,67.0,67.0,18.0,0.65,0.39,0.39,5.67,5.67,5.64,317.37,37.84,29.98,67.77,10.46,194.71,102.23,35.64,37.84,35.64,339.0,104.0,136.0,579.0,40.0,36.0,6.0,67.0,10.0,164.0,126.0,299.0,403.0,20.0,40.0,201.0,27.0,16.0,50.0,322.0,80.0,41.0,7.81,9.81,20.23,7.0,11.0,22.0,579.0,443.0,443.0,5.0,7.75,9.47,9.47,36.13,36.13,34.6
PIT,2022,PIT,PIT,Team Level,5on4,67,0.83,0.85,0.82,21277.0,313.28,41.06,30.58,64.78,10.79,186.89,97.91,37.47,41.06,37.47,313.0,119.0,153.0,585.0,42.0,46.0,12.0,51.0,8.0,152.0,133.0,271.0,390.0,17.0,34.0,204.0,36.0,30.0,72.0,280.0,101.0,51.0,7.71,12.05,21.28,7.0,12.0,23.0,585.0,432.0,432.0,7.0,7.81,10.68,10.68,38.19,38.19,36.3,71.77,8.55,3.96,10.13,2.27,22.0,47.09,8.19,8.55,8.19,78.0,16.0,7.0,101.0,5.0,8.0,0.0,9.0,1.0,15.0,56.0,73.0,89.0,8.0,16.0,149.0,68.0,51.0,25.0,62.0,17.0,15.0,2.08,2.24,4.23,0.0,2.0,3.0,101.0,94.0,94.0,20.0,0.91,1.91,1.91,7.55,7.55,7.49
ANA,2022,ANA,ANA,Team Level,other,67,0.45,0.45,0.46,7720.0,108.83,20.25,8.01,19.48,3.58,57.51,38.16,18.87,20.25,18.87,114.0,33.0,41.0,188.0,25.0,11.0,4.0,17.0,2.0,49.0,43.0,89.0,122.0,7.0,14.0,104.0,17.0,24.0,17.0,81.0,38.0,28.0,3.02,4.54,12.7,3.0,9.0,13.0,188.0,147.0,147.0,7.0,2.3,3.65,4.2,18.36,18.36,17.62,130.51,24.82,9.65,23.23,4.29,67.24,46.76,22.97,24.82,22.97,127.0,49.0,52.0,228.0,23.0,10.0,2.0,20.0,4.0,66.0,53.0,104.0,153.0,11.0,22.0,96.0,17.0,21.0,21.0,91.0,56.0,29.0,3.58,7.77,13.47,4.0,6.0,13.0,228.0,176.0,176.0,8.0,2.69,2.97,3.3,24.21,24.21,22.89
ANA,2022,ANA,ANA,Team Level,all,67,0.4,0.44,0.43,244643.0,1930.62,174.26,132.17,441.77,63.19,1046.41,790.21,167.08,172.89,165.78,1936.0,712.0,881.0,3529.0,169.0,178.0,30.0,391.0,49.0,862.0,1000.0,1767.0,2479.0,282.0,640.0,1795.0,1111.0,392.0,527.0,1943.0,546.0,159.0,54.44,66.05,53.76,56.0,60.0,53.0,3455.97,2648.0,2607.62,291.0,29.22,35.86,35.9,167.59,166.11,162.22,2565.38,260.99,185.23,581.25,85.55,1430.61,1016.37,248.37,264.5,251.72,2622.0,938.0,985.0,4545.0,268.0,285.0,25.0,505.0,87.0,1166.0,1249.0,2354.0,3292.0,245.0,572.0,2098.0,1220.0,466.0,556.0,2507.0,783.0,270.0,76.26,96.69,88.03,84.0,107.0,77.0,4668.34,3560.0,3638.22,261.0,40.9,56.4,56.44,245.44,248.63,241.71
ANA,2022,ANA,ANA,Team Level,5on5,67,0.4,0.43,0.42,199215.0,1494.17,121.74,96.03,355.73,48.72,801.2,625.57,117.43,120.37,116.13,1499.0,550.0,696.0,2745.0,115.0,136.0,21.0,321.0,42.0,639.0,797.0,1384.0,1934.0,248.0,569.0,1355.0,1050.0,322.0,442.0,1540.0,407.0,102.0,43.31,50.01,28.42,50.0,42.0,23.0,2671.97,2049.0,2008.62,256.0,19.83,26.02,25.85,115.73,114.24,112.42,2015.76,182.78,139.46,475.43,67.41,1125.2,821.73,174.84,186.3,178.19,2078.0,734.0,806.0,3618.0,182.0,226.0,19.0,410.0,73.0,901.0,1020.0,1896.0,2630.0,213.0,507.0,1639.0,1147.0,395.0,469.0,2049.0,587.0,176.0,62.54,72.26,47.97,69.0,81.0,32.0,3741.34,2812.0,2890.22,230.0,28.84,44.66,44.97,166.65,169.84,166.16
ANA,2022,ANA,ANA,Team Level,4on5,67,0.07,0.1,0.11,19774.0,46.51,3.57,2.08,6.87,1.4,14.43,33.64,3.53,3.57,3.53,51.0,11.0,9.0,71.0,0.0,0.0,0.0,2.0,1.0,13.0,46.0,51.0,62.0,11.0,25.0,170.0,30.0,34.0,25.0,45.0,14.0,3.0,1.09,1.72,0.77,0.0,0.0,0.0,71.0,62.0,62.0,23.0,0.48,0.0,0.0,4.05,4.05,4.01,373.93,48.23,33.7,76.5,12.47,224.09,117.01,45.46,48.23,45.46,370.0,142.0,120.0,632.0,58.0,46.0,4.0,72.0,10.0,185.0,141.0,312.0,454.0,13.0,27.0,216.0,13.0,12.0,39.0,329.0,126.0,57.0,9.12,14.94,24.17,11.0,17.0,30.0,632.0,512.0,512.0,0.0,8.81,8.38,7.79,49.26,49.26,47.36
ANA,2022,ANA,ANA,Team Level,5on4,67,0.85,0.89,0.87,17934.0,281.11,28.7,26.05,59.69,9.48,173.26,92.82,27.25,28.7,27.25,272.0,118.0,135.0,525.0,29.0,31.0,5.0,51.0,4.0,161.0,114.0,243.0,361.0,16.0,32.0,166.0,14.0,12.0,43.0,277.0,87.0,26.0,7.03,9.78,11.88,3.0,9.0,17.0,525.0,390.0,390.0,5.0,6.61,6.19,5.85,29.46,29.46,28.17,45.17,5.16,2.42,6.1,1.38,14.06,30.88,5.1,5.16,5.1,47.0,13.0,7.0,67.0,5.0,3.0,0.0,3.0,0.0,14.0,35.0,42.0,55.0,8.0,16.0,147.0,43.0,38.0,27.0,38.0,14.0,8.0,1.01,1.72,2.42,0.0,3.0,2.0,67.0,60.0,60.0,23.0,0.56,0.39,0.39,5.32,5.32,5.31
